"filename", "language", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\entities\user-role.entity.ts", "TypeScript", 0, 9, 2, 3, 14
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\auth-manage.repository.ts", "TypeScript", 0, 6, 1, 1, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\interfaces\auth-manage.repository.interface.ts", "TypeScript", 0, 0, -1, 0, -1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\interfaces\org-dep-manage.repository.interface.ts", "TypeScript", 0, 22, 63, 25, 110
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\interfaces\organization-manage.repository.interface.ts", "TypeScript", 0, -21, -14, -13, -48
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\interfaces\user-manage.repository.interface.ts", "TypeScript", 0, 0, 1, 2, 3
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\org-dep-manage.repository.ts", "TypeScript", 0, 48, 3, 13, 64
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\repositories\user-manage.repository.ts", "TypeScript", 0, 3, 20, 1, 24
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\interface\auth-manage.interface.ts", "TypeScript", 0, 2, 10, 1, 13
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\interface\user-manager.interface.ts", "TypeScript", 0, -1, 1, 0, 0
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\services\user\user-manage.service.ts", "TypeScript", 0, -11, -2, -1, -14
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\user\user.module.ts", "TypeScript", 0, 6, 0, 1, 7
"Total", "-", 2, 755, 622, 234, 1613
