"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\controllers\public-checkin.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\common\rate.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\focus\create-focus.dto.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\focus\endFocus.dto.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 6, 21
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\focus\startFocus.dto.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 1, 5, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\personal-checkin\create-personal-checkin.dto.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\dto\public-checkin\create-public-checkin.dto.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 9, 32
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\entities\habit-focus.entity.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 4, 7, 33
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\entities\interfaces\habit-focus.interface.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 4, 3, 18
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\entities\interfaces\personal-checkin.interface.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 1, 4, 14
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\entities\interfaces\public-checkin.interface.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\entities\personal-checkin.entity.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 3, 2, 25
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\entities\public-checkin.entity.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 1, 3, 31
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\repositories\focus.repository.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 3, 15, 136
